01;Mabouille la petite citrouille n'est pas bien réveillée ce matin. Elle est fatiguée et n’as pas encore mangée(1). Tandis qu'elle s'approche d'une flaque(2) d'eau pour se débarbouiller(3), elle croise Patou le toutou(4)vadrouillant à la fraîche.;Les bonnes réponses étaient;4;Se nourrir;Marre;Se laver;Chien
02;Ici, il y a un pays, des vieux grands-pères, des pauvres gens ! » pensait Jean Valjean(1). Tout à coup, ses yeux tombèrent sur les deux flambeaux(2) d’argent. Il se pencha sur le foyer. Il remua le brasier avec un des précieux et beaux chandeliers. Ses cheveux se dressèrent. La sueur lui coulait du front. Ses yeux étaient comme fous(4).;Les bonnes réponses étaient;4;Papi;Feu;Se baissa;Dingue
03;Son corps pâle danse à la lueur des lampes(1), se meut et s'étire avec une grâce irréelle. Elle s'élance et saute(2), pareille à une ballerine envoûtante, ses pieds frappent(3) le sol et dessinent dans l'air moite des arcs parfaits, des cercles(4) précis.;Lampe est un synonyme de lumière. Sauter est un synonyme de bondir. Frapper est un synonyme de taper. Cercle est un synonyme de  rond;4;Lumière;Bondir;Tape;Rond
04;Une phrase se constitue simplement..;Une phrase se constitue de :;3;Sujet;Verbe;Complément 
05;Replacer les mots pour créer une phrase correct;Correction de la phrase;3;Ils;Sont;Fort
06;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;Il;Est;Très;Fort
07;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;Je;Suis;En train;De jouer;
08;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;La maison;Est;Très;Grande
09;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;Mon portable;Est en train;De;sonner
10;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;Je;Fais;La;Cuisine
11;Replacer les mots pour créer une phrase correct;Correction de la phrase;4;Quel;Est;Ton;Age ?
