01;Classer les nombres en ordre croissant;Correction;4;dix;vingt-deux;cent douze;1234
02;Classer les nombres en ordre croissant;Correction;4;onze;trente-quatre;cent vingt-trois;1009
03;Classer les nombres en ordre croissant;Correction;4;douze;quarante-neuf;cent trente-quatre;4567
04;Classer les nombres en ordre croissant;Correction;4;treize;cinquante et un;cent quarante-six;6543
05;Classer les nombres en ordre croissant;Correction;4;quatorze;soixante-sept;cent cinquante-six;8765
06;Classer les nombres en ordre croissant;Correction;4;quinze;soixante-dix-huit;cent soixante-sept;9876
07;Classer les nombres en ordre croissant;Correction;4;seize;quatre-vingts;cent soixante-dix-neuf;5653
08;Classer les nombres en ordre croissant;Correction;4;dix-sept;quatre-vingt-douze;cent quatre-vingt-deux;9876
09;Classer les nombres en ordre croissant;Correction;4;dix-huit;quatre-vingt-quatorze;cent quatre-vingt-treize;9876
10;Classer les nombres en ordre croissant;Correction;4;dix-neuf;quatre-vingt-dix;deux cent trente;4768
