01;Classer les nombres en ordre croissant;Correction;3;dix;vingt-deux;cent douze
02;Classer les nombres en ordre croissant;Correction;3;onze;trente-quatre;cent vingt-trois
03;Classer les nombres en ordre croissant;Correction;3;douze;quarante-neuf;cent trente-quatre
04;Classer les nombres en ordre croissant;Correction;3;treize;cinquante et un;cent quarante-six
05;Classer les nombres en ordre croissant;Correction;3;quatorze;soixante-sept;cent cinquante-six
06;Classer les nombres en ordre croissant;Correction;3;quinze;soixante-dix-huit;cent soixante-sept
07;Classer les nombres en ordre croissant;Correction;3;seize;quatre-vingts;cent soixante-dix-neuf
08;Classer les nombres en ordre croissant;Correction;3;dix-sept;quatre-vingt-douze;cent quatre-vingt-deux
09;Classer les nombres en ordre croissant;Correction;3;dix-huit;quatre-vingt-quatorze;cent quatre-vingt-treize
10;Classer les nombres en ordre croissant;Correction;3;dix-neuf;quatre-vingt-dix;deux cent trente
